"game_id","date","Team","Opponent","Team_Score","Opponent_Score","Location","ADJO","ADJD","EFF","EFG_pct","TO_Pct","OR_Pct","FTR_Pct","ThreePointer_Pct","opp_ADJO","opp_ADJD","Opp_EFF","Opp_EFG_Pct","Opp_TO_Pct","Opp_OR_Pct","Opp_FTR_Pct","Opp_ThreePointer_Pct"
"Air ForceCalifornia11-21",2024-11-21,"California","California",78,69,"H",113.2,112.6,118.1,57.7,22.7,43.3,51.9,30.77,113.2,112.6,118.1,57.7,22.7,43.3,51.9,30.77
"Alabama A&MGeorgia Tech12-28",2024-12-28,"Georgia Tech","Georgia Tech",92,49,"H",99.6,76.6,115.7,62.3,23.9,34.5,34.4,47.62,99.6,76.6,115.7,62.3,23.9,34.5,34.4,47.62
"Alabama St.SMU12-3",2024-12-03,"SMU","SMU",101,72,"H",122.6,110.6,138.6,55.1,11,47.6,49.3,34.48,122.6,110.6,138.6,55.1,11,47.6,49.3,34.48
"AlabamaNorth Carolina12-4",2024-12-04,"North Carolina","North Carolina",79,94,"H",103.1,95.8,94.7,44.2,15.6,31.9,20.5,17.86,103.1,95.8,94.7,44.2,15.6,31.9,20.5,17.86
"AlbanySyracuse12-10",2024-12-10,"Syracuse","Syracuse",102,85,"H",130.2,124.9,140.1,68.3,15.1,37.5,28.6,40,130.2,124.9,140.1,68.3,15.1,37.5,28.6,40
"AmericanNorth Carolina11-15",2024-11-15,"North Carolina","North Carolina",107,55,"H",122.1,92,144.2,64.8,12.1,38.5,55.7,31.82,122.1,92,144.2,64.8,12.1,38.5,55.7,31.82
"AmericanVirginia12-22",2024-12-22,"Virginia","Virginia",63,58,"H",100.1,104.4,107.8,54,13.7,20.7,28,42.11,100.1,104.4,107.8,54,13.7,20.7,28,42.11
"ArkansasMiami FL12-3",2024-12-03,"Miami FL","Miami FL",73,76,"H",120,106.6,108.1,55.8,16.3,25,13.3,31.03,120,106.6,108.1,55.8,16.3,25,13.3,31.03
"ArmyDuke11-8",2024-11-08,"Duke","Duke",100,58,"H",126.8,93.2,141,61.3,11.3,43.6,25.4,44.74,126.8,93.2,141,61.3,11.3,43.6,25.4,44.74
"AuburnDuke12-4",2024-12-04,"Duke","Duke",84,78,"H",148.6,102.2,133.8,57.8,6.4,33.3,46.6,40.91,148.6,102.2,133.8,57.8,6.4,33.3,46.6,40.91
"AuburnNorth Carolina11-26",2024-11-26,"North Carolina","North Carolina",72,85,"N",108.7,93.4,97.2,48.4,13.5,18.4,30.6,37.5,108.7,93.4,97.2,48.4,13.5,18.4,30.6,37.5
"BellarmineLouisville11-19",2024-11-19,"Louisville","Louisville",100,68,"H",111.3,101.6,135.6,64.1,12.2,34.5,37.5,34.29,111.3,101.6,135.6,64.1,12.2,34.5,37.5,34.29
"Bethune CookmanVirginia12-12",2024-12-12,"Virginia","Virginia",59,41,"H",94.5,90.4,103,51,19.2,32.3,24,30.43,94.5,90.4,103,51,19.2,32.3,24,30.43
"BinghamtonMiami FL11-10",2024-11-10,"Miami FL","Miami FL",88,64,"H",116.3,100.3,128.5,57.8,10.2,25.8,43.1,35.48,116.3,100.3,128.5,57.8,10.2,25.8,43.1,35.48
