"game_id","date","Team","Opponent","Team_Score","Opponent_Score","Location","ADJO","ADJD","EFF","EFG_pct","TO_Pct","OR_Pct","FTR_Pct","ThreePointer_Pct","opp_ADJO","opp_ADJD","Opp_EFF","Opp_EFG_Pct","Opp_TO_Pct","Opp_OR_Pct","Opp_FTR_Pct","Opp_ThreePointer_Pct"
"Abilene ChristianBaylor12-9",2024-12-09,"Abilene Christian","Baylor",57,88,"A",96.2,113.7,86.7,36.4,15.2,27,41.8,14.29,133.7,100,133.8,66.1,13.7,35.7,27.1,44.44
"Abilene ChristianCal Baptist1-30",2025-01-30,"Abilene Christian","Cal Baptist",60,83,"A",92.6,119.6,91.3,46.9,24.3,30.3,47.9,30,127.1,104,126.3,58.9,18.3,37.9,35.7,36.36
"Abilene ChristianGrand Canyon1-16",2025-01-16,"Abilene Christian","Grand Canyon",58,88,"A",92.2,114.7,80.1,36.8,26.3,33.3,35.1,42.86,120.4,93.6,121.6,60.7,18,32.3,53.6,50
"Abilene ChristianKennesaw St.11-20",2024-11-20,"Abilene Christian","Kennesaw St.",78,84,"A",112.6,115.2,107.1,50,9.6,20,50.8,33.33,115.7,121.9,115.3,62.2,26.1,31.8,100,43.75
"Abilene ChristianMontana St.11-26",2024-11-26,"Abilene Christian","Montana St.",59,85,"A",91.4,132.8,91.6,44,12.4,20.6,20.7,16.67,134.8,102.1,131.9,75,20.2,25,26,65.38
"Abilene ChristianNebraska Omaha11-30",2024-11-30,"Abilene Christian","Nebraska Omaha",71,55,"A",107.1,79.3,107.2,51.9,15.1,24.1,35.2,30.77,83.4,121.5,83.1,42,24.2,17.2,54.5,31.25
"Abilene ChristianNew Mexico St.12-4",2024-12-04,"Abilene Christian","New Mexico St.",78,70,"A",123,106,117.8,58.9,16.6,32,77.8,43.75,108.7,131,105.7,51,18.1,27.6,58,33.33
"Abilene ChristianSeattle1-11",2025-01-11,"Abilene Christian","Seattle",64,66,"A",102.8,99.2,98.4,52.6,21.5,34.4,12.1,33.33,101.7,112,101.5,46,21.5,35.3,58,20
"Abilene ChristianSouthern Miss11-25",2024-11-25,"Abilene Christian","Southern Miss",82,74,"N",123.9,118.4,123.1,54.3,18,44.4,85.1,33.33,112.6,138.4,111.1,56.1,18,28.1,65.3,56.25
"Abilene ChristianTexas A&M Commerce12-18",2024-12-18,"Abilene Christian","Texas A&M Commerce",67,68,"A",91.7,102.9,93.6,49.1,22.3,26.7,24.6,22.22,95.1,106.6,95,50,25.1,25,88.1,20
"Abilene ChristianTexas A&M12-28",2024-12-28,"Abilene Christian","Texas A&M",54,92,"A",95.6,115.7,78,41.3,30.3,28.6,25,35.71,130.6,92.7,132.9,66,26,61.5,56.6,40
"Abilene ChristianUtah Valley1-4",2025-01-04,"Abilene Christian","Utah Valley",53,64,"A",80.1,88.8,73.2,33.1,26.2,34.1,37.3,10,88.5,83.8,88.4,48,23.5,21.2,53.1,11.11
"Air ForceBoise St.12-21",2024-12-21,"Air Force","Boise St.",59,77,"A",100.7,104.7,91.4,63.1,27.9,13,31,46.67,111.7,101.3,119.2,56.5,18.6,35.7,38.9,23.08
"Air ForceCalifornia11-21",2024-11-21,"Air Force","California",69,78,"A",103.9,112.5,104.5,61.8,24.2,25,21.6,45.83,113.2,112.6,118.1,57.7,22.7,43.3,51.9,30.77
