iter	RMSE
0	12.11128047
1	12.05056811
2	11.98418453
3	11.92444284
4	11.86405215
5	11.80666968
6	11.74379522
7	11.68284451
8	11.61948157
9	11.55613082
10	11.50023939
11	11.44266518
12	11.38670271
13	11.33415602
14	11.27668092
15	11.21957132
16	11.16303309
17	11.11159916
18	11.05301689
19	10.99860837
20	10.94310067
21	10.89059247
22	10.83962822
23	10.78568045
24	10.73374985
25	10.68237842
26	10.63284247
27	10.58347583
28	10.53872223
29	10.49253608
30	10.44417458
31	10.39572744
32	10.35279546
33	10.30604092
34	10.26318508
35	10.22275307
36	10.17826822
37	10.13537633
38	10.09485552
39	10.05358681
40	10.01173274
41	9.972952671
42	9.931119685
43	9.894436276
44	9.852510795
45	9.81267168
46	9.775445293
47	9.737111917
48	9.704415893
49	9.667585092
50	9.62977374
51	9.594643355
52	9.55637474
53	9.520353493
54	9.486621743
55	9.451334525
56	9.417642941
57	9.383615502
58	9.350945041
59	9.317081475
60	9.285209132
61	9.25470366
62	9.222420503
63	9.189826909
64	9.156525451
65	9.123659334
66	9.09268066
67	9.061868833
68	9.029803324
69	9.002291971
70	8.973733563
71	8.946401991
72	8.917896824
73	8.888256527
74	8.861828895
75	8.837421711
76	8.809269259
77	8.782360941
78	8.754904962
79	8.730116482
80	8.705350564
81	8.679062027
82	8.653232526
83	8.624989953
84	8.598505744
85	8.574443262
86	8.550451636
87	8.526144282
88	8.500908863
89	8.476754749
90	8.454947362
91	8.432945861
92	8.40934386
93	8.383370774
94	8.361942188
95	8.341915062
96	8.321267477
97	8.299527304
98	8.277756551
99	8.257663032
100	8.23480154
101	8.213824757
102	8.19142696
103	8.170478116
104	8.1502751
105	8.12999954
106	8.109992852
107	8.091465113
108	8.072221083
109	8.053941847
110	8.035101006
111	8.017831667
112	7.995687579
113	7.977490694
114	7.959415945
115	7.942655423
116	7.923502241
117	7.903936094
118	7.886201697
119	7.868168607
120	7.84985087
121	7.833810786
122	7.816798747
123	7.798252536
124	7.783136367
125	7.769360515
126	7.754128894
127	7.739322816
128	7.72445983
129	7.708884267
130	7.692988976
131	7.679777318
132	7.664720072
133	7.650040524
134	7.635180141
