iter	Passed	Remaining
0	1	505
1	1	340
2	1	275
3	1	247
4	2	222
5	2	211
6	2	202
7	3	197
8	3	189
9	3	183
10	4	181
11	4	178
12	4	176
13	5	174
14	5	171
15	5	169
16	5	166
17	6	185
18	7	183
19	7	181
20	7	175
21	7	173
22	8	170
23	8	168
24	8	167
25	9	167
26	9	166
27	9	165
28	10	164
29	10	165
30	11	173
31	11	171
32	12	169
33	12	168
34	12	166
35	12	165
36	13	163
37	13	163
38	13	162
39	14	161
40	14	160
41	14	160
42	15	159
43	15	158
44	15	157
45	15	157
46	16	156
47	16	156
48	17	156
49	17	156
50	17	156
51	18	156
52	18	156
53	18	156
54	19	156
55	19	155
56	19	154
57	20	154
58	20	154
59	20	153
60	21	152
61	21	152
62	21	151
63	22	150
64	22	150
65	22	150
66	23	149
67	23	149
68	23	148
69	24	148
70	24	148
71	24	147
72	25	147
73	25	147
74	25	147
75	26	146
76	26	146
77	27	146
78	27	146
79	27	145
80	28	145
81	28	144
82	28	144
83	28	143
84	29	143
85	29	142
86	29	141
87	30	141
88	30	141
89	30	140
90	31	140
91	32	142
92	32	142
93	33	142
94	33	142
95	33	141
96	34	141
97	34	141
98	34	140
99	35	140
100	35	139
101	35	139
102	35	138
103	36	138
104	36	138
105	37	137
106	37	137
107	37	136
108	38	136
109	38	136
110	38	135
111	39	135
112	39	134
113	39	134
114	40	134
115	40	135
116	41	135
117	41	134
118	42	134
119	42	134
120	42	133
121	43	133
122	43	132
123	43	132
124	44	132
125	44	131
126	44	131
127	45	130
128	45	130
129	45	130
130	46	129
131	46	129
132	46	129
133	47	128
134	47	128
135	47	127
136	48	127
137	48	127
138	48	126
139	49	126
140	49	125
141	49	125
142	50	125
143	50	124
144	50	124
145	51	124
146	51	123
147	51	123
148	52	123
149	52	122
150	52	122
151	53	121
152	53	121
153	53	121
154	54	120
155	54	120
156	54	119
157	55	119
158	55	119
159	55	118
160	56	118
161	56	117
162	56	117
163	57	117
164	57	117
165	57	116
166	58	116
167	58	115
168	58	115
169	59	114
170	59	114
171	59	114
172	60	113
173	60	113
174	60	113
175	61	112
176	61	112
177	62	112
178	62	111
179	62	111
180	63	111
181	63	110
182	63	110
183	64	110
184	64	109
185	64	109
186	65	109
187	65	108
188	65	108
189	66	107
190	66	107
191	67	107
192	67	107
193	67	106
194	68	106
195	68	105
196	68	105
197	68	104
198	69	104
199	69	104
200	69	103
201	69	103
202	70	102
203	70	102
204	70	102
205	71	101
206	71	101
207	72	101
208	72	100
209	72	100
210	73	100
211	73	99
212	73	99
213	74	99
214	74	99
215	75	98
216	75	98
217	75	98
218	76	97
219	76	97
220	76	96
221	77	96
222	77	96
223	77	95
224	78	95
225	78	95
226	78	94
227	79	94
228	79	93
229	79	93
230	80	93
231	80	92
232	80	92
233	81	92
234	81	91
235	81	91
236	82	91
237	82	90
238	82	90
239	83	90
240	83	89
241	83	89
242	84	89
243	84	88
244	85	88
245	85	88
246	85	87
247	86	87
248	86	87
249	86	86
250	87	86
251	87	85
252	87	85
253	88	85
254	88	84
255	88	84
256	89	84
257	89	84
258	90	83
259	90	83
260	90	83
261	91	82
262	91	82
263	91	82
264	92	81
265	92	81
266	92	80
267	93	80
268	93	80
269	93	79
270	93	79
271	94	79
272	94	78
273	95	78
274	95	78
275	95	77
276	96	77
277	96	77
278	96	76
279	97	76
280	97	76
281	97	75
282	98	75
283	98	74
284	98	74
285	99	74
286	99	73
287	99	73
288	100	73
289	100	72
290	100	72
291	101	72
292	101	71
293	101	71
294	102	71
295	102	70
296	102	70
297	103	69
298	103	69
299	103	69
300	104	68
301	104	68
302	104	68
303	105	67
304	105	67
305	106	67
306	106	66
307	106	66
308	106	66
309	107	65
310	107	65
311	107	64
312	108	64
313	108	64
314	108	63
315	109	63
316	109	63
317	109	62
318	110	62
319	110	62
320	110	61
321	111	61
322	111	61
323	112	60
324	112	60
325	112	60
326	112	59
327	113	59
328	113	59
329	114	58
330	114	58
331	114	58
332	115	57
333	115	57
334	115	57
335	116	56
336	116	56
337	116	55
338	117	55
339	117	55
340	117	54
341	118	54
342	118	54
343	118	53
344	119	53
345	119	53
346	119	52
347	120	52
348	120	52
349	120	51
350	121	51
351	121	51
352	121	50
353	122	50
354	122	50
355	122	49
356	123	49
357	123	49
358	123	48
359	124	48
360	124	47
361	124	47
362	125	47
363	125	46
364	126	46
365	126	46
366	126	45
367	127	45
368	127	45
369	127	44
370	128	44
371	128	44
372	128	43
373	129	43
374	129	43
375	129	42
376	130	42
377	130	42
378	130	41
379	131	41
380	131	41
381	131	40
382	132	40
383	132	40
384	132	39
385	133	39
386	133	38
387	133	38
388	134	38
389	134	37
390	134	37
391	135	37
392	135	36
393	136	36
394	136	36
395	136	35
396	137	35
397	137	35
398	137	34
399	138	34
400	138	34
401	139	33
402	139	33
403	139	33
404	139	32
405	140	32
406	140	32
407	141	31
408	141	31
409	141	31
410	142	30
411	142	30
412	142	30
413	143	29
414	143	29
415	143	29
416	144	28
417	144	28
418	144	27
419	145	27
420	145	27
421	146	27
422	146	26
423	147	26
424	147	26
425	147	25
426	148	25
427	148	24
428	148	24
429	149	24
430	149	23
431	149	23
432	150	23
433	150	22
434	150	22
435	151	22
436	151	21
437	151	21
438	152	21
439	152	20
440	153	20
441	153	20
442	153	19
443	154	19
444	154	19
445	154	18
446	155	18
447	155	18
448	155	17
449	156	17
450	156	16
451	156	16
452	157	16
453	157	15
454	157	15
455	158	15
456	158	14
457	158	14
458	159	14
459	159	13
460	160	13
461	160	13
462	160	12
463	161	12
464	161	12
465	161	11
466	162	11
467	162	11
468	162	10
469	163	10
470	163	10
471	163	9
472	164	9
473	164	9
474	164	8
