Team,Opponent,Average Predicted Team Score,Average Predicted Opponent Score,
Duke,Notre Dame,81.58000502,73.25627517,8.323729848
North Carolina St.,North Carolina,76.83886279,77.51397251,-0.675109717
Duke,Miami FL,81.83416655,74.34168555,7.492481007
North Carolina,California,78.92725773,76.07011047,2.85714726
Virginia Tech,North Carolina St.,71.36232567,76.81485022,-5.452524557
North Carolina,Stanford,78.22812561,76.53377215,1.694353458
North Carolina St.,California,77.23212401,76.13012983,1.10199418
Boston College,Duke,71.24400895,80.26208604,-9.018077098
Wake Forest,North Carolina,70.82831953,77.41532915,-6.587009617
Wake Forest,Duke,69.77579918,79.77542664,-9.999627457
North Carolina,Boston College,78.599618,70.51739751,8.082220497
North Carolina St.,SMU,76.40789257,81.85082112,-5.442928549
Duke,North Carolina St.,81.1495546,72.72524045,8.424314152
Pittsburgh,North Carolina,82.56643534,76.46173932,6.104696013
Duke,North Carolina,81.05146471,73.69364337,7.35782134
North Carolina St.,Clemson,75.77123184,76.82589001,-1.054658171
Syracuse,Duke,73.8815098,81.87181193,-7.990302129
California,North Carolina St.,77.0976717,77.02366962,0.074002079
Clemson,Duke,77.13306432,77.62655545,-0.493491132
Stanford,North Carolina St.,76.9214142,75.3010489,1.620365292
North Carolina,Pittsburgh,79.046391,80.66753282,-1.621141817
Clemson,North Carolina,78.22783422,74.76939774,3.458436474
Duke,California,81.57425032,72.56661926,9.007631059
North Carolina St.,Louisville,76.06047191,76.02755927,0.032912639
Syracuse,North Carolina,75.10323719,79.78072715,-4.677489953
Duke,Stanford,80.86177046,72.87336975,7.988400716
North Carolina St.,Boston College,76.87574516,70.14811247,6.727632688
Virginia,Duke,69.23777603,79.55397457,-10.31619854
North Carolina,North Carolina St.,78.77485748,76.22304752,2.551809953
North Carolina St.,Wake Forest,75.99105057,68.66112917,7.329921393
North Carolina,Virginia,78.19756446,70.21318489,7.984379567
Illinois,Duke,79.78044366,77.29122919,2.489214468
Florida St.,North Carolina,76.43140556,77.59461962,-1.163214055
Miami FL,Duke,76.05005182,81.44605024,-5.395998419
Syracuse,North Carolina St.,74.94743787,78.22673185,-3.279293976
Georgia Tech,North Carolina St.,74.53001055,76.06005625,-1.530045698
North Carolina,Miami FL,79.27153783,77.36361506,1.90792278
Duke,Florida St.,80.81255527,71.11453161,9.698023658
Duke,Wake Forest,80.60476603,64.60634161,15.99842442
Virginia Tech,North Carolina,71.67022435,78.01124345,-6.341019105
North Carolina St.,Pittsburgh,76.7123753,81.09611055,-4.38373525
Miami FL,North Carolina St.,77.62614517,77.15084671,0.475298462
North Carolina,Duke,77.67513112,79.91344077,-2.238309647
