Location,Team,Opponent,WAB,ADJO,ADJD,EFF,EFG%,TO%,OR%,FTR,2P,3P,Opp EFF,Opp EFG%,Opp TO%,Opp OR%,Opp FTR,Opp 2P,Opp 3P,Opponent_score,Team_score
H,DUKE,Maine,0.1,125.3,95.2,130.6,64.3,17.7,35.5,31.7,24-34,11-29,84.3,39.5,19.0,19.4,31.6,18-43,3-14,62,96
H,DUKE,Army,0.1,124.7,92.3,141.0,61.3,11.3,43.6,25.4,18-33,17-38,81.8,39.1,18.3,23.3,14.1,13-35,8-29,58,100
N,DUKE,Kentucky,-0.2,106.8,86.4,95.7,42.3,9.3,25.0,23.9,24-47,4-24,102.3,47.6,14.6,23.3,38.1,15-38,10-25,77,72
H,DUKE,Wofford,-0.1,124.7,56.9,133.7,61.3,15.5,45.2,17.7,14-24,16-38,54.4,28.9,29.5,29.3,5.3,9-24,5-33,35,86
A,DUKE,Arizona,0.6,111.7,75.9,101.9,50.0,20.7,35.1,21.3,17-36,9-25,81.2,45.3,22.2,16.7,20.8,15-30,6-23,55,69
N,DUKE,Kansas,0.3,116.1,100.5,105.7,61.5,23.5,19.2,37.5,13-22,11-26,110.1,56.1,23.5,33.3,21.1,20-40,8-17,75,72
H,DUKE,Seattle,0.5,98.9,72.5,103.1,48.3,19.2,30.8,32.8,13-22,10-36,70.7,25.5,23.6,23.8,66.0,6-28,4-19,48,70
H,DUKE,Auburn,1.2,145.6,103.4,133.8,57.8,6.4,33.3,46.6,20-36,9-22,124.3,53.1,12.7,40.5,18.8,19-39,10-25,78,84
A,DUKE,Louisville,1.9,115.9,94.1,112.9,51.6,10.4,25.7,22.6,20-32,8-30,96.6,48.0,22.3,23.5,41.2,8-20,11-31,65,76
H,DUKE,Incarnate Word,1.9,101.3,80.7,116.4,50.9,21.0,47.1,38.2,16-30,8-25,74.4,36.8,17.8,22.2,22.6,12-30,5-23,46,72
H,DUKE,George Mason,2.1,113.5,76.7,108.1,45.5,15.9,37.8,37.5,12-29,9-27,74.7,30.9,20.7,41.7,8.8,18-51,2-17,47,68
H,UNC,Elon,0.1,118.4,103.0,120.6,48.1,8.0,37.5,20.0,19-48,13-32,101.8,53.3,21.4,28.6,23.0,13-32,13-29,76,90
A,UNC,Kansas,-0.1,127.6,107.4,115.0,48.4,14.2,27.0,49.2,20-40,7-23,118.9,52.6,5.2,28.6,22.4,31-55,6-21,92,89
H,UNC,American,0.0,122.8,90.4,144.2,64.8,12.1,38.5,55.7,29-39,7-22,74.1,36.9,17.5,16.3,18.0,12-30,7-31,55,107
A,UNC,Hawaii,0.2,126.7,102.1,127.4,56.5,7.3,16.7,63.0,23-39,5-15,101.1,45.6,19.0,40.5,42.1,14-34,8-23,69,87
N,UNC,Dayton,0.7,120.0,106.2,118.5,60.2,19.3,26.7,63.0,19-31,9-23,115.9,52.7,12.9,31.0,20.3,18-42,14-32,90,92
N,UNC,Auburn,0.6,106.5,94.5,97.2,48.4,13.5,18.4,30.6,21-46,6-16,114.8,51.4,10.8,27.5,24.6,19-39,11-30,85,72
