"date","team","opp","adj_o","adj_d"
2024-12-17,"George Mason","Duke",93.6,93.5
2024-12-10,"Incarnate Word","Duke",96.6,98.5
2024-12-08,"Louisville","Duke",121,97.3
2024-12-04,"Auburn","Duke",152.8,117.1
2024-11-29,"Seattle","Duke",88.5,89.3
2024-11-26,"Kansas","Duke",134.8,92.6
2024-11-22,"Arizona","Duke",98.9,90.4
2024-11-16,"Wofford","Duke",69.8,115.5
2024-11-12,"Kentucky","Duke",119.6,88.1
2024-11-08,"Army","Duke",107.2,119
2024-11-04,"Maine","Duke",108.9,110.8
2024-12-17,"Florida","North Carolina",124.3,96.2
2024-12-14,"La Salle","North Carolina",96.8,107.5
2024-12-07,"Georgia Tech","North Carolina",93.3,79.5
2024-12-04,"Alabama","North Carolina",122.1,85.2
2024-11-27,"Michigan St.","North Carolina",128.7,101.3
2024-11-26,"Auburn","North Carolina",124.2,87.2
2024-11-25,"Dayton","North Carolina",126.8,105.4
2024-11-22,"Hawaii","North Carolina",107.5,116.8
2024-11-15,"American","North Carolina",96.3,116.4
2024-11-08,"Kansas","North Carolina",128.2,103.6
2024-11-04,"Elon","North Carolina",111.1,107.7
2024-12-14,"Kansas","N.C. State",126.8,94.3
2024-12-10,"Coppin St.","N.C. State",96.3,97.9
2024-12-07,"Florida St.","N.C. State",116.6,113.8
2024-12-04,"Texas","N.C. State",113,96.1
2024-11-29,"BYU","N.C. State",121.7,87.5
2024-11-28,"Purdue","N.C. State",125.9,100.1
2024-11-22,"William & Mary","N.C. State",87.7,105.6
2024-11-18,"Colgate","N.C. State",73,95.7
2024-11-13,"Coastal Carolina","N.C. State",105.9,111.2
2024-11-08,"Presbyterian","N.C. State",112.3,116.9
2024-11-04,"USC Upstate","N.C. State",98.5,120
2024-12-18,"UMBC","Georgia Tech",111.9,121.8
2024-12-15,"Northwestern","Georgia Tech",107.8,82.8
2024-12-07,"North Carolina","Georgia Tech",90.7,86.3
2024-12-03,"Oklahoma","Georgia Tech",113.5,100.7
2024-11-30,"Central Arkansas","Georgia Tech",112.4,130.1
2024-11-27,"Charleston Southern","Georgia Tech",96.2,117.7
2024-11-23,"Cincinnati","Georgia Tech",121.4,82.4
2024-11-15,"Georgia","Georgia Tech",107.6,90.1
2024-11-12,"Texas Southern","Georgia Tech",86.2,108
2024-11-10,"North Florida","Georgia Tech",133.4,112.8
2024-11-06,"West Georgia","Georgia Tech",86.3,111.8
2024-12-15,"Navy","Virginia Tech",126.3,128.6
2024-12-12,"North Carolina A&T","Virginia Tech",93.6,120.9
2024-12-07,"Pittsburgh","Virginia Tech",99.3,93
2024-12-04,"Vanderbilt","Virginia Tech",121.7,97.6
2024-11-27,"South Carolina","Virginia Tech",114,95.5
2024-11-25,"Michigan","Virginia Tech",105.8,94.8
2024-11-20,"Jacksonville","Virginia Tech",107.1,95.9
2024-11-15,"Penn St.","Virginia Tech",119.2,89.1
