Team,Opponent,HPT_Team_Score,HPT_Opp_Score,Predicted Team Score LR,Predicted Opponent Score LR,Predicted Team Score GAM,Predicted Opponent Score GAM,Average Predicted Team Score,Average Predicted Opponent Score
Oklahoma,Central Arkansas,79.15505644,61.62004102,79.166199,61.675325,84.631341,68.560955,81.89877,65.11814
Illinois St.,Cornell,88.73499083,79.16553328,88.372032,80.12886,92.261725,82.962965,90.316878,81.545912
Illinois,Missouri,78.27712146,77.95149949,75.987238,72.419649,75.333006,70.11317,75.660122,71.266409
Colgate,Iona,72.23880842,78.25369384,71.799647,76.346761,71.895929,81.946786,71.847788,79.146773
Alabama,Kent St.,74.31472821,46.79991663,76.886418,49.444535,75.871347,52.862724,76.378882,51.15363
Iowa St.,Morgan St.,94.51785908,71.59793432,93.422177,70.027455,93.749737,72.419655,93.585957,71.223555
New Hampshire,Stonehill,81.5710094,85.71393939,83.245746,90.426563,81.912131,88.573926,82.578938,89.500244
Michigan,Purdue Fort Wayne,81.59811281,56.0388163,89.296138,56.119612,85.642075,50.549227,87.469107,53.33442
,,,,,,,,,
,,,,,,,,,
Team,Opponent,Actual_Team,Actual_Opp,,,,,,
Oklahoma,Central Arkansas,89,66,,,,,,
Illinois St.,Cornell,80,77,,,,,,
Illinois,Missouri,80,77,,,,,,
Colgate,Iona,73,79,,,,,,
Alabama,Kent St.,81,54,,,,,,
Iowa St.,Morgan St.,90,46,,,,,,
New Hampshire,Stonehill,83,90,,,,,,
Michigan,Purdue Fort Wayne,89,58,,,,,,
,,,,,,,,,
Team,Opponent,delta_HPT_team,delta_HPT_opp,delta_LR_team,delta_LR_opp,delta_GAM_team,delta_GAM_opp,delta_avg_team,delta_avg_opp
Oklahoma,Central Arkansas,9.84494356,4.379958981,9.833801,4.324675,4.368659,-2.560955,7.10123,0.88186
Illinois St.,Cornell,-8.734990829,-2.165533284,-8.372032,-3.12886,-12.261725,-5.962965,-10.316878,-4.545912
Illinois,Missouri,1.722878545,-0.951499485,4.012762,4.580351,4.666994,6.88683,4.339878,5.733591
Colgate,Iona,0.761191582,0.746306164,1.200353,2.653239,1.104071,-2.946786,1.152212,-0.146773
Alabama,Kent St.,6.685271785,7.200083374,4.113582,4.555465,5.128653,1.137276,4.621118,2.84637
Iowa St.,Morgan St.,-4.517859076,-25.59793432,-3.422177,-24.027455,-3.749737,-26.419655,-3.585957,-25.223555
New Hampshire,Stonehill,1.428990599,4.286060605,-0.245746,-0.426563,1.087869,1.426074,0.421062,0.499756
Michigan,Purdue Fort Wayne,7.401887189,1.961183701,-0.296138,1.880388,3.357925,7.450773,1.530893,4.66558
,,,,,,,,,
,absolute_avg,5.137251646,5.911069989,3.937073875,5.6971245,4.465704125,6.84891425,4.1336535,5.567924625
