"game_id","date","Team","Opponent","Team_Score","Opponent_Score","Location","ADJO","ADJD","EFF","EFG_pct","TO_Pct","OR_Pct","FTR_Pct","ThreePointer_Pct","opp_ADJO","opp_ADJD","Opp_EFF","Opp_EFG_Pct","Opp_TO_Pct","Opp_OR_Pct","Opp_FTR_Pct","Opp_ThreePointer_Pct"
"Abilene ChristianBaylor12-9",2024-12-09,"Abilene Christian","Baylor",57,88,"A",96.6,113,86.7,36.4,15.2,27,41.8,14.29,130.4,95.9,133.8,66.1,13.7,35.7,27.1,44.44
"Abilene ChristianKennesaw St.11-20",2024-11-20,"Abilene Christian","Kennesaw St.",78,84,"A",108.2,115.4,107.1,50,9.6,20,50.8,33.33,112.8,116.9,115.3,62.2,26.1,31.8,100,43.75
"Abilene ChristianMontana St.11-26",2024-11-26,"Abilene Christian","Montana St.",59,85,"A",90.7,128.9,91.6,44,12.4,20.6,20.7,16.67,131.5,97.9,131.9,75,20.2,25,26,65.38
"Abilene ChristianNebraska Omaha11-30",2024-11-30,"Abilene Christian","Nebraska Omaha",71,55,"A",105.3,84.1,107.2,51.9,15.1,24.1,35.2,30.77,81.3,116.6,83.1,42,24.2,17.2,54.5,31.25
"Abilene ChristianNew Mexico St.12-4",2024-12-04,"Abilene Christian","New Mexico St.",78,70,"A",117.7,107.1,117.8,58.9,16.6,32,77.8,43.75,106,125.6,105.7,51,18.1,27.6,58,33.33
"Abilene ChristianSouthern Miss11-25",2024-11-25,"Abilene Christian","Southern Miss",82,74,"N",119.8,117.9,123.1,54.3,18,44.4,85.1,33.33,109.8,132.7,111.1,56.1,18,28.1,65.3,56.25
"Abilene ChristianTexas A&M Commerce12-18",2024-12-18,"Abilene Christian","Texas A&M Commerce",67,68,"A",92,104.5,93.6,49.1,22.3,26.7,24.6,22.22,92.8,102.2,95,50,25.1,25,88.1,20
"Air ForceBoise St.12-21",2024-12-21,"Air Force","Boise St.",59,77,"A",101.1,107.6,91.4,63.1,27.9,13,31,46.67,111.1,102.7,119.2,56.5,18.6,35.7,38.9,23.08
"Air ForceCalifornia11-21",2024-11-21,"Air Force","California",69,78,"A",102.3,111,104.5,61.8,24.2,25,21.6,45.83,112.6,114.1,118.1,57.7,22.7,43.3,51.9,30.77
"Air ForceMiami OH12-2",2024-12-02,"Air Force","Miami OH",60,73,"A",100.4,114,96.5,59.6,20.9,13.8,27.7,45.45,108.3,109.6,117.5,60.4,14.5,26.9,28.3,30.77
"Air ForceNorthern Colorado12-16",2024-12-16,"Air Force","Northern Colorado",76,81,"A",102,112.7,106.6,51.8,8.4,11.1,60,5.56,111.3,112.9,113.6,57.5,18.2,26.9,43.4,38.46
"Air ForceStony Brook12-7",2024-12-07,"Air Force","Stony Brook",69,61,"N",91.5,93,99.2,64.3,31.6,20,45.2,33.33,84.3,107.4,87.7,39.8,24.4,35.9,28.8,14.29
"Air ForceWright St.11-30",2024-11-30,"Air Force","Wright St.",57,70,"A",85.3,108.4,91.3,44.3,24,37.1,28.3,25,108.8,97.5,112.2,60.6,11.2,6.9,23.1,45
"AkronArkansas St.11-4",2024-11-04,"Akron","Arkansas St.",75,80,"A",99.8,96.8,93.7,41.8,17.5,36.5,16.5,29.41,99.7,93.2,100,52.7,18.7,26.8,8.2,30
"AkronJackson St.12-21",2024-12-21,"Akron","Jackson St.",68,50,"N",93,82.9,95,41.7,29.4,50,28.8,23.08,73.4,90.7,69.9,33.9,23.8,27.7,28.8,28.57
"AkronMilwaukee12-15",2024-12-15,"Akron","Milwaukee",81,100,"N",94.8,112.1,95.4,52.8,20,19,15.3,40,117.6,95.1,117.8,66.4,25.9,37.5,31.2,57.89
"AkronPrinceton12-30",2024-12-30,"Akron","Princeton",75,76,"A",103.3,96,100.9,47.7,16.1,29.4,26.6,30.43,99.3,103.1,102.3,55.1,16.1,15.6,30.5,35
"AkronSaint Mary's11-12",2024-11-12,"Akron","Saint Mary's",68,87,"A",105.9,110,96.2,46.9,14.1,16.7,12.3,46.43,120.3,98.1,123.1,53.6,15.6,51.3,25.7,26.32
"AkronYale12-20",2024-12-20,"Akron","Yale",58,74,"N",85.2,94.9,81.1,38.8,18.2,16.3,29.3,33.33,101.4,82.6,103.5,51.8,25.2,40.6,37.5,26.67
"Alabama A&MChattanooga12-15",2024-12-15,"Alabama A&M","Chattanooga",63,85,"A",102,130.3,102,53.6,16.2,28.1,23.6,52.38,122.5,119.1,137.6,65.3,16.2,34.6,49,43.75
"Alabama A&MGeorgia11-19",2024-11-19,"Alabama A&M","Georgia",45,93,"A",79.2,110.8,62.9,35.2,29.3,23.1,22.2,28.57,110.3,81.2,129.9,61.3,22.4,56.7,77.4,36
"Alabama A&MTennessee St.11-16",2024-11-16,"Alabama A&M","Tennessee St.",71,81,"A",85.6,102.8,87.3,37.5,20.9,41.8,31.6,15.79,88.6,101.7,99.6,53.4,24.6,36.1,54.2,35.71
"Alabama A&MUAB12-18",2024-12-18,"Alabama A&M","UAB",67,96,"A",87.1,117.8,90.1,40.4,24.2,42.9,29.4,30,116.9,103,129.1,48,12.1,53.5,40.5,38.89
"Alabama St.Akron11-24",2024-11-24,"Alabama St.","Akron",78,97,"A",110.4,126.2,106.1,53,13.6,20.5,22.7,48.48,119.9,110.9,131.9,57.2,15,43.9,33.3,42.86
"Alabama St.Cincinnati11-27",2024-11-27,"Alabama St.","Cincinnati",59,77,"A",96.4,101.9,84.1,35.6,10,19.6,21.2,23.33,101.6,85.9,109.7,52.2,14.3,36.6,17.4,32.26
"Alabama St.Delaware St.12-20",2024-12-20,"Alabama St.","Delaware St.",80,83,"N",109.6,132.7,116.6,57,17.5,39.4,17.2,34.38,114.4,116.5,120.9,64.5,13.1,14.3,34.5,50
"Alabama St.LSU11-10",2024-11-10,"Alabama St.","LSU",61,74,"A",98.5,92.8,84.4,34.2,20.8,35.7,43.3,5,90,91.6,102.4,52.1,20.8,20.7,72.3,35
"Alabama St.Lamar11-23",2024-11-23,"Alabama St.","Lamar",77,75,"N",112.1,117.2,113.5,56.6,13.3,20,45.3,38.1,105.4,112.6,110.5,50,19.2,35.3,51.9,38.1
"Alabama St.Missouri12-30",2024-12-30,"Alabama St.","Missouri",65,82,"A",93.1,105,91.4,44.6,16.9,25,15.4,40,109,90.8,115.2,57.8,16.9,26.7,31,31.03
"Alabama St.Nebraska Omaha11-22",2024-11-22,"Alabama St.","Nebraska Omaha",85,67,"N",110.9,99.1,118,58.2,13.9,20,52.7,40,89.2,116.9,93,39.7,13.9,27.1,41.3,22.22
"Alabama St.Norfolk St.12-19",2024-12-19,"Alabama St.","Norfolk St.",54,71,"N",77.5,108.2,82,33.6,16.7,29.5,37.9,11.54,104.1,79.4,107.8,49,19.7,37.9,56,30
"Alabama St.SMU12-3",2024-12-03,"Alabama St.","SMU",72,101,"A",109.3,117.8,98.8,44.2,11,25,23.2,31.71,122.7,107.1,138.6,55.1,11,47.6,49.3,34.48
"Alabama St.Southern Miss12-5",2024-12-05,"Alabama St.","Southern Miss",64,81,"A",89.6,110.8,86.6,38.7,9.5,18.4,16.9,31.03,96.1,94.5,109.6,57.5,17.6,24.2,28.3,36
"Alabama St.UNLV11-4",2024-11-04,"Alabama St.","UNLV",79,93,"A",119.1,123.9,113,51.6,17.2,32.4,32.8,40.91,121.3,117.6,133,64.7,15.7,41.9,48.3,45
"AlabamaHouston11-26",2024-11-26,"Alabama","Houston",85,80,"N",136.1,95.7,112.5,45.1,19.8,47.7,67.2,35.48,116.8,94,105.9,41.5,15.9,36.4,50.8,31.58
